,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,subs_rank,channel_views_rank
772,SIS vs BRO,14200000,6973932553,Entertainment,SiS,60,Ukraine,UA,Entertainment,2460,4686,105,0.03,0.42,0.32,5,10,2016,Aug,3,82.7,44385155,8.88,30835699,48.379433,31.16558,552,552
773,NikkieTutorials,14200000,1778318927,Howto & Style,NikkieTutorials,876,Netherlands,NL,Entertainment,2,154,35934000,9000,143700,107800,1700000,0,2008,Jun,23,85,17332850,3.2,15924729,52.132633,5.291266,928,928
774,TommyInnit,14200000,2084791147,Gaming,TommyInnit,342,United Kingdom,GB,Games,27,55,54291000,13600,217200,162900,2600000,200000,2015,Dec,24,60,66834405,3.85,55908316,55.378051,-3.435973,911,911
775,E-MasterSensei,14200000,3920559552,Gaming,E-MasterSensei,1300,Mexico,MX,Games,28,54,44575000,11100,178300,133700,2100000,200000,2016,Jan,13,40.2,126014024,3.42,102626859,23.634501,-102.552784,774,774
776,infobells - Kannada,14200000,6554000320,Education,infobells - Kannada,433,India,IN,Education,110,37,141688000,35400,566800,425100,6800000,300000,2014,Mar,13,28.1,1366417754,5.36,471031528,20.593684,78.96288,581,581
777,Crazy Frog,14200000,7946322061,Music,CrazyFrog,0,Unknown,Unknown,Games,Unknown,7453,0,0,0,0,0,0,2005,Oct,2,Unknown,Unknown,Unknown,Unknown,No Data,No Data,482,482
778,The Dodo,14200000,9964116817,Pets & Animals,Dorukhan Gï¿½ï¿½ï,8,Unknown,Unknown,Unknown,Unknown,Unknown,7208,2,29,22,346,5,2006,Jun,14,Unknown,Unknown,Unknown,Unknown,No Data,No Data,371,371
779,SEVENGERS,14200000,10238593147,Comedy,SEVENGERS,872,India,IN,Comedy,110,33,367898000,92000,1500000,1100000,17700000,400000,2018,Jun,4,28.1,1366417754,5.36,471031528,20.593684,78.96288,358,358
780,Zee Bangla,14200000,11428794827,Entertainment,Zee Bangla,132398,India,IN,Entertainment,109,153,59927000,15000,239700,179800,2900000,200000,2008,Feb,26,28.1,1366417754,5.36,471031528,20.593684,78.96288,309,309
781,DangMattSmith,14200000,3317805543,Entertainment,DangMattSmith,1724,United States,US,Entertainment,159,154,12902000,3200,51600,38700,619300,0,2011,Aug,18,88.2,328239523,14.7,270663028,37.09024,-95.712891,817,817
